№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
604;Москва ;Москва ;Центральный ;11514330;1147
825;Санкт-Петербург ;Санкт-Петербург ;Северо-Западный ;4848742;1703
671;Новосибирск ;Новосибирская область ;Сибирский ;1498921;1893
275;Екатеринбург ;Свердловская область ;Уральский ;1377738;1723
646;Нижний Новгород ;Нижегородская область ;Приволжский ;1250615;1221
352;Казань ;Татарстан ;Приволжский ;1216965;1005
824;Самара ;Самарская область ;Приволжский ;1164900;1586
708;Омск ;Омская область ;Сибирский ;1154000;1716
1045;Челябинск ;Челябинская область ;Уральский ;1130273;1736
806;Ростов-на-Дону ;Ростовская область ;Южный ;1091544;1749
1011;Уфа ;Башкортостан ;Приволжский ;1062300;1574
169;Волгоград ;Волгоградская область ;Южный ;1021244;1589
740;Пермь ;Пермский край ;Приволжский ;1000679;1723
477;Красноярск ;Красноярский край ;Сибирский ;973826;1628
182;Воронеж ;Воронежская область ;Центральный ;889680;1586
828;Саратов ;Саратовская область ;Приволжский ;836900;1590
465;Краснодар ;Краснодарский край ;Южный ;744933;1793
962;Тольятти ;Самарская область ;Приволжский ;719484;1737
73;Барнаул ;Алтайский край ;Сибирский ;635585;1730
334;Ижевск ;Удмуртия ;Приволжский ;628117;1760
993;Ульяновск ;Ульяновская область ;Приволжский ;613793;1648
166;Владивосток ;Приморский край ;Дальневосточный ;592069;1860
1111;Ярославль ;Ярославская область ;Центральный ;591486;1010
344;Иркутск ;Иркутская область ;Сибирский ;587225;1661
984;Тюмень ;Тюменская область ;Уральский ;581758;1586
569;Махачкала ;Дагестан ;Северо-Кавказский ;577990;1844
1022;Хабаровск ;Хабаровский край ;Дальневосточный ;577668;1858
713;Оренбург ;Оренбургская область ;Приволжский ;570329;1743
664;Новокузнецк ;Кемеровская область ;Сибирский ;547885;1618
393;Кемерово ;Кемеровская область ;Сибирский ;532884;1918
818;Рязань ;Рязанская область ;Центральный ;525062;1095
965;Томск ;Томская область ;Сибирский ;522940;1604
52;Астрахань ;Астраханская область ;Южный ;520662;1558
734;Пенза ;Пензенская область ;Приволжский ;519592;1663
613;Набережные Челны ;Татарстан ;Приволжский ;513242;1626
530;Липецк ;Липецкая область ;Центральный ;508124;1703
976;Тула ;Тульская область ;Центральный ;501129;1146
410;Киров ;Кировская область ;Приволжский ;473668;1181
1042;Чебоксары ;Чувашия ;Приволжский ;447929;1469
992;Улан-Удэ ;Бурятия ;Сибирский ;431922;1666
356;Калининград ;Калининградская область ;Северо-Западный ;431491;1255
132;Брянск ;Брянская область ;Центральный ;415640;985
502;Курск ;Курская область ;Центральный ;414595;1032
330;Иваново ;Ивановская область ;Центральный ;409277;1561
552;Магнитогорск ;Челябинская область ;Уральский ;408401;1929
950;Тверь ;Тверская область ;Центральный ;403726;1135
907;Ставрополь ;Ставропольский край ;Северо-Кавказский ;398266;1777
842;Севастополь ;Севастополь ;Южный ;393304;1783
647;Нижний Тагил ;Свердловская область ;Уральский ;361883;1722
80;Белгород ;Белгородская область ;Центральный ;356426;1596
